id,n_items,total_weight,opt_bins,waste_abs,waste_pct,n_items_is_prime,total_weight_is_prime,total_weight_is_pow2,prime_elem_count,pow2_elem_count
0,16,648,7,52,7.428571428571429,0,0,0,4,1
1,16,642,7,58,8.285714285714285,0,0,0,2,1
2,12,350,4,50,12.5,0,0,0,6,0
3,18,714,8,86,10.75,0,0,0,2,2
4,19,804,9,96,10.666666666666668,1,0,0,7,0
5,18,630,7,70,10.0,0,0,0,5,1
6,15,482,5,18,3.5999999999999996,0,0,0,3,0
7,15,570,6,30,5.0,0,0,0,6,0
8,18,590,6,10,1.6666666666666667,0,0,0,7,0
9,12,438,5,62,12.4,0,0,0,3,0
10,19,790,9,110,12.222222222222221,1,0,0,2,2
11,15,593,6,7,1.1666666666666667,0,1,0,4,0
12,15,576,6,24,4.0,0,0,0,3,0
13,15,618,7,82,11.714285714285715,0,0,0,6,0
14,15,594,7,106,15.142857142857144,0,0,0,3,1
15,17,574,6,26,4.333333333333334,1,0,0,6,1
16,12,489,6,111,18.5,0,0,0,4,0
17,16,609,7,91,13.0,0,0,0,5,2
18,10,295,3,5,1.6666666666666667,0,0,0,4,0
19,13,428,5,72,14.399999999999999,1,0,0,3,0
20,11,383,4,17,4.25,1,1,0,4,1
21,10,401,5,99,19.8,0,1,0,2,2
22,18,713,8,87,10.875,0,0,0,7,0
23,10,431,5,69,13.8,0,1,0,2,1
24,17,585,6,15,2.5,1,0,0,6,0
25,11,378,4,22,5.5,1,0,0,4,1
26,17,685,7,15,2.142857142857143,1,0,0,6,0
27,12,536,6,64,10.666666666666668,0,0,0,4,0
28,10,410,5,90,18.0,0,0,0,4,0
29,11,393,4,7,1.7500000000000002,1,0,0,2,0
30,16,742,9,158,17.555555555555554,0,0,0,3,1
31,15,483,5,17,3.4000000000000004,0,0,0,6,0
32,12,559,7,141,20.142857142857142,0,0,0,3,0
33,10,462,5,38,7.6,0,0,0,5,0
34,13,476,5,24,4.8,1,0,0,3,0
35,13,510,6,90,15.0,1,0,0,4,0
36,13,505,6,95,15.833333333333332,1,0,0,5,0
37,19,859,9,41,4.555555555555555,1,1,0,1,1
38,17,741,9,159,17.666666666666668,1,0,0,5,1
39,16,564,6,36,6.0,0,0,0,3,0
