id,n_items,total_weight,avg_size,std_size,skew_size,theo_min,opt_bins,waste_pct,solve_time_ms
0,15,535,35.666666666666664,19.37106334815142,0.18544094956033913,6,6,10.833333333333334,0.030040740966796875
1,13,413,31.76923076923077,17.59334081479811,0.08281370726169998,5,5,17.4,0.013828277587890625
2,14,569,40.642857142857146,17.33208293602067,-0.09041043369796926,6,6,5.166666666666667,0.01621246337890625
3,12,388,32.333333333333336,16.543789460004913,0.6515938943502344,4,5,22.400000000000002,0.010013580322265625
4,12,483,40.25,19.601136330696377,-0.05263768069917117,5,5,3.4000000000000004,0.010967254638671875
5,15,604,40.266666666666666,19.965923350501356,-0.09787469358363282,7,7,13.714285714285715,0.019073486328125
6,11,412,37.45454545454545,15.895682661424997,0.5167992716903835,5,5,17.599999999999998,0.007867813110351562
7,11,482,43.81818181818182,16.539759259542937,-0.5174808434482612,5,6,19.666666666666664,0.011920928955078125
8,15,651,43.4,16.025871939728315,0.0030826780201083153,7,7,7.000000000000001,0.015735626220703125
9,10,356,35.6,20.586943003326702,0.4722401942588679,4,4,11.0,0.007867813110351562
10,14,588,42,17.724385635441532,0.1261503897431927,6,7,16.0,0.012159347534179688
11,11,495,45,12.041594578792296,0.20930584891036658,5,6,17.5,0.008106231689453125
12,11,358,32.54545454545455,19.106876439458315,0.4337620253424311,4,4,10.5,0.007867813110351562
13,15,622,41.46666666666667,16.762486461767907,-0.21290792089902033,7,7,11.142857142857142,0.013113021850585938
14,10,434,43.4,16.581113754308948,-0.18851686557039654,5,5,13.200000000000001,0.012874603271484375
15,13,520,40,19.870413516918397,-0.04765102000294941,6,6,13.333333333333334,0.010967254638671875
16,15,667,44.46666666666667,17.045597113400895,-0.10501271995407975,7,7,4.714285714285714,0.013113021850585938
17,10,439,43.9,20.867039400291873,-0.22492692024008198,5,5,12.2,0.009775161743164062
18,12,448,37.333333333333336,22.10032222444375,0.2122015361585668,5,5,10.4,0.010967254638671875
19,14,564,40.285714285714285,17.516711016488365,0.15252095706697794,6,6,6.0,0.011920928955078125
20,14,631,45.07142857142857,12.922635392771301,-0.12201074160378304,7,7,9.857142857142858,0.015020370483398438
21,10,292,29.2,13.113182510571397,0.23031600098408944,3,3,2.666666666666667,0.008106231689453125
22,10,345,34.5,22.554871363459874,0.30747337351166837,4,4,13.750000000000002,0.010013580322265625
23,10,397,39.7,16.425251562423295,0.25587144000096074,4,5,20.599999999999998,0.0069141387939453125
24,14,520,37.142857142857146,14.426776082405526,0.12461205020414835,6,6,13.333333333333334,0.012159347534179688
