id,n_items,total_weight,n_even,n_odd,even_ratio,pattern_eoe,pattern_oeo,pattern_eee,pattern_ooo,opt_bins,waste_pct,solve_time_ms
0,15,535,4,11,0.26666666666666666,1,1,0,1,6,10.833333333333334,0.031948089599609375
1,13,413,6,7,0.46153846153846156,1,1,0,0,5,17.4,0.01430511474609375
2,14,569,7,7,0.5,1,1,1,1,6,5.166666666666667,0.015974044799804688
3,12,388,8,4,0.6666666666666666,0,0,1,1,5,22.400000000000002,0.009775161743164062
4,12,483,5,7,0.4166666666666667,1,1,0,1,5,3.4000000000000004,0.011205673217773438
5,15,604,9,6,0.6,1,1,1,0,7,13.714285714285715,0.018835067749023438
6,11,412,5,6,0.45454545454545453,1,1,0,0,5,17.599999999999998,0.008106231689453125
7,11,482,7,4,0.6363636363636364,1,1,1,0,6,19.666666666666664,0.012159347534179688
8,15,651,6,9,0.4,1,1,0,1,7,7.000000000000001,0.018358230590820312
9,10,356,6,4,0.6,1,1,0,0,4,11.0,0.007867813110351562
10,14,588,6,8,0.42857142857142855,0,0,1,1,7,16.0,0.012159347534179688
11,11,495,2,9,0.18181818181818182,0,1,0,1,6,17.5,0.008106231689453125
12,11,358,5,6,0.45454545454545453,1,1,1,1,4,10.5,0.009059906005859375
13,15,622,9,6,0.6,1,1,1,1,7,11.142857142857142,0.013828277587890625
14,10,434,4,6,0.4,1,1,0,0,5,13.200000000000001,0.010013580322265625
15,13,520,11,2,0.8461538461538461,1,1,1,0,6,13.333333333333334,0.010967254638671875
16,15,667,8,7,0.5333333333333333,1,1,1,0,7,4.714285714285714,0.013113021850585938
17,10,439,3,7,0.3,0,1,0,0,5,12.2,0.010013580322265625
18,12,448,6,6,0.5,0,1,1,1,5,10.4,0.011920928955078125
19,14,564,8,6,0.5714285714285714,1,1,1,0,6,6.0,0.011682510375976562
20,14,631,7,7,0.5,1,0,0,1,7,9.857142857142858,0.016927719116210938
21,10,292,4,6,0.4,0,0,1,1,3,2.666666666666667,0.008106231689453125
22,10,345,5,5,0.5,1,1,1,1,4,13.750000000000002,0.010013580322265625
23,10,397,5,5,0.5,0,0,1,1,5,20.599999999999998,0.007152557373046875
24,14,520,10,4,0.7142857142857143,1,0,1,0,6,13.333333333333334,0.011920928955078125
25,13,540,3,10,0.23076923076923078,0,1,0,1,7,22.857142857142858,0.01811981201171875
26,10,293,5,5,0.5,1,1,0,1,4,26.75,0.007867813110351562
27,11,501,4,7,0.36363636363636365,0,1,1,1,6,16.5,0.010728836059570312
28,14,564,6,8,0.42857142857142855,1,1,0,1,6,6.0,0.014066696166992188
29,10,380,8,2,0.8,1,0,1,0,4,5.0,0.007867813110351562
30,13,515,6,7,0.46153846153846156,1,1,0,1,6,14.166666666666666,0.011205673217773438
31,15,549,8,7,0.5333333333333333,1,1,1,1,6,8.5,0.014781951904296875
32,10,356,4,6,0.4,1,1,0,1,4,11.0,0.010013580322265625
33,14,545,7,7,0.5,1,1,1,0,6,9.166666666666666,0.013113021850585938
34,11,412,5,6,0.45454545454545453,1,1,0,1,5,17.599999999999998,0.010013580322265625
35,12,451,7,5,0.5833333333333334,1,1,1,0,5,9.8,0.010013580322265625
36,14,542,10,4,0.7142857142857143,1,0,1,0,6,9.666666666666666,0.012159347534179688
37,15,704,7,8,0.4666666666666667,1,0,0,1,8,12.0,0.016927719116210938
38,11,372,5,6,0.45454545454545453,1,1,0,1,4,7.000000000000001,0.008106231689453125
39,15,633,8,7,0.5333333333333333,1,0,1,1,7,9.571428571428571,0.015974044799804688
40,13,456,7,6,0.5384615384615384,1,1,1,1,5,8.799999999999999,0.010967254638671875
41,15,598,7,8,0.4666666666666667,1,1,1,1,7,14.571428571428571,0.011920928955078125
42,14,543,5,9,0.35714285714285715,0,1,1,1,6,9.5,0.012159347534179688
43,15,684,5,10,0.3333333333333333,0,1,0,1,8,14.499999999999998,0.018358230590820312
44,11,494,3,8,0.2727272727272727,1,1,0,1,6,17.666666666666668,0.013113021850585938
45,13,597,6,7,0.46153846153846156,1,1,1,1,8,25.374999999999996,0.018835067749023438
46,10,442,8,2,0.8,1,1,1,0,5,11.600000000000001,0.010013580322265625
47,11,367,4,7,0.36363636363636365,0,1,1,1,4,8.25,0.009775161743164062
48,12,509,5,7,0.4166666666666667,0,1,0,1,6,15.166666666666668,0.009059906005859375
49,11,401,8,3,0.7272727272727273,0,0,1,1,5,19.8,0.008106231689453125
50,14,541,7,7,0.5,1,1,1,1,6,9.833333333333332,0.012636184692382812
51,14,672,8,6,0.5714285714285714,1,1,1,1,9,25.333333333333336,0.019073486328125
52,14,593,9,5,0.6428571428571429,1,0,1,1,7,15.285714285714286,0.01621246337890625
53,12,524,6,6,0.5,1,1,1,1,6,12.666666666666668,0.012874603271484375
54,14,535,5,9,0.35714285714285715,1,1,0,1,6,10.833333333333334,0.012159347534179688
55,13,565,8,5,0.6153846153846154,1,1,1,0,6,5.833333333333333,0.012874603271484375
56,12,536,6,6,0.5,1,1,1,1,6,10.666666666666668,0.012159347534179688
57,11,376,5,6,0.45454545454545453,1,1,0,1,4,6.0,0.010013580322265625
58,13,534,7,6,0.5384615384615384,1,1,0,0,6,11.0,0.011920928955078125
59,15,679,6,9,0.4,1,1,0,1,8,15.125,0.017881393432617188
60,10,428,4,6,0.4,1,1,0,1,5,14.399999999999999,0.009059906005859375
61,14,732,8,6,0.5714285714285714,1,1,1,1,9,18.666666666666668,0.015020370483398438
62,14,633,7,7,0.5,1,1,1,1,7,9.571428571428571,0.0152587890625
63,14,502,6,8,0.42857142857142855,1,1,0,1,6,16.333333333333332,0.011920928955078125
64,10,296,6,4,0.6,0,0,1,1,4,26.0,0.0073909759521484375
